filename,Bins0,Bins1,Bins2,Bins3,Bins4,Bins5,Bins6,Bins7,rmean_bins0,rmean_bins1,rmean_bins2,rmean_bins3,rmean_bins4,rmean_bins5,rmean_bins6,rmean_bins7,rstd_bins0,rstd_bins1,rstd_bins2,rstd_bins3,rstd_bins4,rstd_bins5,rstd_bins6,rstd_bins7,rskew_bins0,rskew_bins1,rskew_bins2,rskew_bins3,rskew_bins4,rskew_bins5,rskew_bins6,rskew_bins7,rkurto_bins0,rkurto_bins1,rkurto_bins2,rkurto_bins3,rkurto_bins4,rkurto_bins5,rkurto_bins6,rkurto_bins7,class
transformed_image_pneumonia_612.png,6903,10341,0,12377,12412,0,7335,16168,84.68636825,9.766076782,0,67.77385473,165.212778,0,205.6493524,204.2891514,22.89063945,8.59544242,6.53480709,33.46839382,27.32843985,0,11.00811466,42.34123775,24.82569143,17.54976202,0,38.21257187,17.93091909,0,11.22206208,38.76849091,26.66745295,19.6509605,0,41.01330967,19.79049568,0,12.19930974,42.18609664,2
transformed_image_pneumonia_613.png,6827,11740,5,8488,12731,0,9494,16251,93.82862165,10.50212947,129.2,74.375,170.9254575,0,200.0800506,206.3881607,22.3980533,15.37235826,0,34.58433717,15.73032255,0,10.00680546,34.67981844,24.43507059,20.36820342,3.996420254,41.84301655,14.70043476,0,11.80229973,36.12258171,26.00037312,23.33241589,4.338642772,45.10364699,16.74294203,0,13.96290596,40.07788972,2
transformed_image_pneumonia_614.png,10073,6877,1,10528,14910,0,8177,14970,117.4823786,12.19107169,132,86.13022416,171.5484909,0,206.5840773,213.18831,22.4002961,17.06989296,3.447253335,37.66965916,12.54840258,0,10.14797314,31.39039844,25.45217564,25.63441068,0,42.05311934,15.4469186,0,10.05248716,30.67519743,27.55373387,29.79385455,0,45.38497194,16.34112608,0,10.99527388,34.16514843,2
transformed_image_pneumonia_615.png,8356,11077,0,11691,11345,0,13996,9071,93.74281953,19.50401733,0,64.27482679,185.5273689,0,246.9909974,210.3676552,22.92987326,20.62480279,0,37.73427227,14.17904428,0,9.093362308,26.53897391,27.29360979,21.04250745,0,48.98285676,23.27418879,0,10.66068717,40.47870271,29.42400045,22.51988027,0,51.50842074,25.01557797,0,13.30277327,42.46356999,2
transformed_image_pneumonia_616.png,6586,10596,0,8744,15081,0,9339,15190,102.3838445,8.892129105,0,73.66274016,179.8821696,0,210.3476818,214.2959842,24.5789002,19.40099716,0,45.66517455,21.06052272,0,8.498083926,37.84441319,27.51192183,21.10874817,0,43.25234958,19.94913923,0,8.650286868,33.4598351,29.25802065,25.15197961,0,46.19010424,20.9456023,0,10.63547562,37.11528137,2
transformed_image_pneumonia_617.png,6651,11111,1,8307,14093,0,11735,13638,100.8792663,16.60336603,112,79.08065487,179.6086,0,217.1463997,216.9227893,25.27902088,16.75560136,0,39.40451813,18.85839592,0,7.01968422,29.26435945,27.24001659,24.54956633,0,43.09387692,17.00058185,0,9.998829991,35.72553262,28.98613752,27.45925531,0,46.16975025,17.72903823,0,11.0061675,40.27986266,2
transformed_image_pneumonia_618.png,7189,12066,2,10623,11852,1,12555,11248,91.53081096,11.96858942,112,58.27864069,181.7751434,157,231.1828753,211.4702169,25.01224119,21.78402588,0,39.08533344,16.21608761,0,8.818580597,30.24950285,25.38355754,21.09029583,2.381101578,44.66334369,23.11201469,0,10.86107155,42.08145756,27.11012976,24.28900887,2.522689246,47.86573534,25.06430515,0,12.56162445,43.94438866,2
transformed_image_pneumonia_619.png,5500,13562,12,7584,12812,0,9401,16665,91.01854545,5.218035688,109.9166667,79.1774789,157.5621293,0,199.1248803,205.2289829,23.12982649,17.88283939,2.121320344,40.45053738,20.58377565,0,9.551288936,39.62201733,26.45573543,14.10735475,17.94985471,32.58537571,14.75644996,0,14.84322356,37.490059,28.43949038,17.41044981,19.62689833,34.91266664,15.67342747,0,16.7889873,40.99148573,2
transformed_image_pneumonia_620.png,6866,13758,0,10339,13433,0,7649,13491,79.75633557,3.8906091,0,72.23725699,189.4912529,0,227.8880899,202.2840412,24.04459044,10.56023752,15.92367622,29.56209431,13.62665705,0,13.06992691,33.36027227,28.26610132,11.67127354,0,36.95629418,27.94317572,0,8.936844173,43.09639618,30.339759,14.94685455,0,40.33962526,29.92469927,0,11.26317647,46.88781982,2
transformed_image_pneumonia_621.png,8082,12103,1,7867,8430,0,18260,10793,107.290151,23.32231678,108,67.07639507,181.5883749,0,238.256517,230.0148244,25.48310295,8.904323659,0,32.84803901,25.86919398,0,7.288692517,38.5182,27.82780616,28.25914402,0,54.04656637,13.85867734,0,5.414340146,30.72829954,29.57978961,30.53890398,0,57.46395954,15.15257493,0,6.720683518,35.37009015,2
